"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_00429___337953_1","group_26696","K03406","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_00429___337953_1","group_26696","K03406","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_00430_1","rpmA","K02899","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L27","RP-L27, MRPL27, rpmA"
"PROKKA_00431_1","rplU","K02888","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L21","RP-L21, MRPL21, rplU"
"PROKKA_00433_1","flhB_2","K02401","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar biosynthetic protein FlhB","flhB"
"PROKKA_00434_1","group_15831","K07792","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","anaerobic C4-dicarboxylate transporter DcuB","dcuB"
"PROKKA_00435___16981_1","group_9164","K01803","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","TPI, tpiA"
"PROKKA_00435___16981_1","group_9164","K01803","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","triosephosphate isomerase (TIM)","TPI, tpiA"
"PROKKA_00435___16981_1","group_9164","K01803","Metabolism"," Carbohydrate metabolism","  00051 Fructose and mannose metabolism [PATH:ko00051]","triosephosphate isomerase (TIM)","TPI, tpiA"
"PROKKA_00435___16981_1","group_9164","K01803","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","triosephosphate isomerase (TIM)","TPI, tpiA"
"PROKKA_00435___16981_1","group_9164","K01803","Metabolism"," Carbohydrate metabolism","  00562 Inositol phosphate metabolism [PATH:ko00562]","triosephosphate isomerase (TIM)","TPI, tpiA"
"PROKKA_00435___16981_1","group_9164","K01803","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","triosephosphate isomerase (TIM)","TPI, tpiA"
"PROKKA_00439___84036_1","group_19027","K09341","Human Diseases"," Infectious diseases","  05146 Amoebiasis [PATH:ko05146]","homeobox protein MSX","MSX"
"PROKKA_00439___84036_1","group_19027","K09341","Human Diseases"," Infectious diseases","  05166 HTLV-I infection [PATH:ko05166]","homeobox protein MSX","MSX"
"PROKKA_00440_1","ttdA_1","K03779","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","L(+)-tartrate dehydratase alpha subunit","ttdA"
"PROKKA_00441_1","ttdB","K03780","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","L(+)-tartrate dehydratase beta subunit","ttdB"
"PROKKA_00442___138990_1","group_1110","K00901","Human Diseases"," Cancers","  05231 Choline metabolism in cancer [PATH:ko05231]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00442___138990_1","group_1110","K00901","Metabolism"," Lipid metabolism","  00561 Glycerolipid metabolism [PATH:ko00561]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00442___138990_1","group_1110","K00901","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00442___138990_1","group_1110","K00901","Environmental Information Processing"," Signal transduction","  04070 Phosphatidylinositol signaling system [PATH:ko04070]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00442___138990_1","group_1110","K00901","Environmental Information Processing"," Signal transduction","  04072 Phospholipase D signaling pathway [PATH:ko04072]","diacylglycerol kinase (ATP)","dgkA, DGK"
"PROKKA_00443___885_1","group_12496","K00123","Metabolism"," Carbohydrate metabolism","  00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","formate dehydrogenase major subunit","fdoG, fdfH"
"PROKKA_00443___885_1","group_12496","K00123","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","fdoG, fdfH"
"PROKKA_00443___885_1","group_12496","K00123","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","formate dehydrogenase major subunit","fdoG, fdfH"
"PROKKA_00443_1","group_10571","K01424","Metabolism"," Metabolism of other amino acids","  00460 Cyanoamino acid metabolism [PATH:ko00460]","L-asparaginase","E3.5.1.1, ansA, ansB"
"PROKKA_00443_1","group_10571","K01424","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","L-asparaginase","E3.5.1.1, ansA, ansB"
"PROKKA_00444___24511_1","group_17291","K07151","Metabolism"," Glycan biosynthesis and metabolism","  00513 Various types of N-glycan biosynthesis [PATH:ko00513]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00444___24511_1","group_17291","K07151","Genetic Information Processing"," Folding, sorting and degradation","  04141 Protein processing in endoplasmic reticulum [PATH:ko04141]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00444___24511_1","group_17291","K07151","Metabolism"," Glycan biosynthesis and metabolism","  00510 N-Glycan biosynthesis [PATH:ko00510]","dolichyl-diphosphooligosaccharide--protein glycosyltransferase","STT3"
"PROKKA_00445___56318_1","group_6687","K03752","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","molybdenum cofactor guanylyltransferase","mobA"
"PROKKA_00445_1","polA","K02335","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA polymerase I","DPO1, polA"
"PROKKA_00445_1","polA","K02335","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","DNA polymerase I","DPO1, polA"
"PROKKA_00445_1","polA","K02335","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","DNA polymerase I","DPO1, polA"
"PROKKA_00445_1","polA","K02335","Genetic Information Processing"," Replication and repair","  03420 Nucleotide excision repair [PATH:ko03420]","DNA polymerase I","DPO1, polA"
"PROKKA_00445_1","polA","K02335","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","DNA polymerase I","DPO1, polA"
"PROKKA_00445_1","polA","K02335","Genetic Information Processing"," Replication and repair","  03410 Base excision repair [PATH:ko03410]","DNA polymerase I","DPO1, polA"
"PROKKA_00446___242209_1","group_24795","K20810","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","aminodeoxyfutalosine deaminase","mqnX"
"PROKKA_00446___56320_1","group_18238","K01058","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","phospholipase A1","pldA"
"PROKKA_00446___56320_1","group_18238","K01058","Metabolism"," Lipid metabolism","  00590 Arachidonic acid metabolism [PATH:ko00590]","phospholipase A1","pldA"
"PROKKA_00446___56320_1","group_18238","K01058","Metabolism"," Lipid metabolism","  00592 alpha-Linolenic acid metabolism [PATH:ko00592]","phospholipase A1","pldA"
"PROKKA_00446___56320_1","group_18238","K01058","Metabolism"," Lipid metabolism","  00565 Ether lipid metabolism [PATH:ko00565]","phospholipase A1","pldA"
"PROKKA_00446___56320_1","group_18238","K01058","Metabolism"," Lipid metabolism","  00591 Linoleic acid metabolism [PATH:ko00591]","phospholipase A1","pldA"
"PROKKA_00448_1","fmt","K00604","Metabolism"," Metabolism of cofactors and vitamins","  00670 One carbon pool by folate [PATH:ko00670]","methionyl-tRNA formyltransferase","MTFMT, fmt"
"PROKKA_00448_1","fmt","K00604","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","methionyl-tRNA formyltransferase","MTFMT, fmt"
"PROKKA_00449___195010_1","group_23950","K00075","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","UDP-N-acetylmuramate dehydrogenase","murB"
"PROKKA_00449___195010_1","group_23950","K00075","Metabolism"," Glycan biosynthesis and metabolism","  00550 Peptidoglycan biosynthesis [PATH:ko00550]","UDP-N-acetylmuramate dehydrogenase","murB"
"PROKKA_00449___20671_1","group_14537","K01628","Metabolism"," Carbohydrate metabolism","  00051 Fructose and mannose metabolism [PATH:ko00051]","L-fuculose-phosphate aldolase","fucA"
"PROKKA_00449_1","thiD_1","K00941","Metabolism"," Metabolism of cofactors and vitamins","  00730 Thiamine metabolism [PATH:ko00730]","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","thiD"
"PROKKA_00450___376437_1","group_27425","K00558","Human Diseases"," Cancers","  05206 MicroRNAs in cancer [PATH:ko05206]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00450___376437_1","group_27425","K00558","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","DNA (cytosine-5)-methyltransferase 1","DNMT1, dcm"
"PROKKA_00450_1","birA","K03524","Metabolism"," Metabolism of cofactors and vitamins","  00780 Biotin metabolism [PATH:ko00780]","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase","birA"
"PROKKA_00452___17015_1","amiC","K01448","Human Diseases"," Drug resistance","  01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]","N-acetylmuramoyl-L-alanine amidase","E3.5.1.28B, amiA, amiB, amiC"
"PROKKA_00453___258013_1","group_25294","K02841","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","heptosyltransferase I","waaC, rfaC"
"PROKKA_00453___99586_1","group_19594","K10026","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","7-carboxy-7-deazaguanine synthase","queE"
"PROKKA_00454___258015_1","group_25295","K02517","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","Kdo2-lipid IVA lauroyltransferase","lpxL, htrB"
"PROKKA_00455___909_1","gpt","K00769","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","xanthine phosphoribosyltransferase","gpt"
"PROKKA_00456_1","atpA","K02111","Metabolism"," Energy metabolism","  00195 Photosynthesis [PATH:ko00195]","F-type H+-transporting ATPase subunit alpha","ATPF1A, atpA"
"PROKKA_00456_1","atpA","K02111","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","F-type H+-transporting ATPase subunit alpha","ATPF1A, atpA"
"PROKKA_00457___913_1","mqnE_2","K18285","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","aminodeoxyfutalosine synthase","mqnE"
"PROKKA_00457_1","atpG","K02115","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","F-type H+-transporting ATPase subunit gamma","ATPF1G, atpG"
"PROKKA_00457_1","atpG","K02115","Metabolism"," Energy metabolism","  00195 Photosynthesis [PATH:ko00195]","F-type H+-transporting ATPase subunit gamma","ATPF1G, atpG"
"PROKKA_00458___915_1","glnD","K00990","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","[protein-PII] uridylyltransferase","glnD"
"PROKKA_00458_1","atpD","K02112","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","F-type H+-transporting ATPase subunit beta","ATPF1B, atpD"
"PROKKA_00458_1","atpD","K02112","Metabolism"," Energy metabolism","  00195 Photosynthesis [PATH:ko00195]","F-type H+-transporting ATPase subunit beta","ATPF1B, atpD"
"PROKKA_00459___48609_1","group_18011","K10747","Genetic Information Processing"," Replication and repair","  03410 Base excision repair [PATH:ko03410]","DNA ligase 1","LIG1"
"PROKKA_00459___48609_1","group_18011","K10747","Genetic Information Processing"," Replication and repair","  03430 Mismatch repair [PATH:ko03430]","DNA ligase 1","LIG1"
"PROKKA_00459___48609_1","group_18011","K10747","Genetic Information Processing"," Replication and repair","  03420 Nucleotide excision repair [PATH:ko03420]","DNA ligase 1","LIG1"
"PROKKA_00459___48609_1","group_18011","K10747","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA ligase 1","LIG1"
"PROKKA_00459___917_1","glmS","K00820","Human Diseases"," Endocrine and metabolic diseases","  04931 Insulin resistance [PATH:ko04931]","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","glmS, GFPT"
"PROKKA_00459___917_1","glmS","K00820","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","glmS, GFPT"
"PROKKA_00459___917_1","glmS","K00820","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","glmS, GFPT"
"PROKKA_00459_1","atpC","K02114","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","F-type H+-transporting ATPase subunit epsilon","ATPF1E, atpC"
"PROKKA_00459_1","atpC","K02114","Metabolism"," Energy metabolism","  00195 Photosynthesis [PATH:ko00195]","F-type H+-transporting ATPase subunit epsilon","ATPF1E, atpC"
"PROKKA_00467_1","fabD","K00645","Metabolism"," Lipid metabolism","  00061 Fatty acid biosynthesis [PATH:ko00061]","[acyl-carrier-protein] S-malonyltransferase","fabD"
"PROKKA_00467_1","fabD","K00645","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","[acyl-carrier-protein] S-malonyltransferase","fabD"
"PROKKA_00468_1","pfs","K18284","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","K18284"
"PROKKA_00468_1","pfs","K18284","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","K18284"
"PROKKA_00468_1","pfs","K18284","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","K18284"
"PROKKA_00472___139050_1","ruvB_1","K03551","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","holliday junction DNA helicase RuvB","ruvB"
"PROKKA_00472___17055_1","group_8471","K00099","Metabolism"," Metabolism of terpenoids and polyketides","  00900 Terpenoid backbone biosynthesis [PATH:ko00900]","1-deoxy-D-xylulose-5-phosphate reductoisomerase","dxr"
"PROKKA_00473___17057_1","group_6562","K00981","Environmental Information Processing"," Signal transduction","  04070 Phosphatidylinositol signaling system [PATH:ko04070]","phosphatidate cytidylyltransferase","E2.7.7.41, CDS1, CDS2, cdsA"
"PROKKA_00473___17057_1","group_6562","K00981","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","phosphatidate cytidylyltransferase","E2.7.7.41, CDS1, CDS2, cdsA"
"PROKKA_00473___4965_1","group_16365","K07192","Organismal Systems"," Endocrine system","  04910 Insulin signaling pathway [PATH:ko04910]","flotillin","FLOT"
"PROKKA_00475___195062_1","group_23953","K02406","Human Diseases"," Infectious diseases","  05132 Salmonella infection [PATH:ko05132]","flagellin","fliC"
"PROKKA_00475___195062_1","group_23953","K02406","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellin","fliC"
"PROKKA_00475___195062_1","group_23953","K02406","Organismal Systems"," Immune system","  04621 NOD-like receptor signaling pathway [PATH:ko04621]","flagellin","fliC"
"PROKKA_00475___195062_1","group_23953","K02406","Human Diseases"," Infectious diseases","  05134 Legionellosis [PATH:ko05134]","flagellin","fliC"
"PROKKA_00475___195062_1","group_23953","K02406","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","flagellin","fliC"
"PROKKA_00475___195062_1","group_23953","K02406","Organismal Systems"," Environmental adaptation","  04626 Plant-pathogen interaction [PATH:ko04626]","flagellin","fliC"
"PROKKA_00475___24573_1","group_17292","K00616","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","transaldolase","E2.2.1.2, talA, talB"
"PROKKA_00475___24573_1","group_17292","K00616","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","transaldolase","E2.2.1.2, talA, talB"
"PROKKA_00475___24573_1","group_17292","K00616","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","transaldolase","E2.2.1.2, talA, talB"
"PROKKA_00476___17063_1","group_13907","K00245","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","fumarate reductase iron-sulfur subunit","frdB"
